ID,Max,AVG,ADJ,KWT,PWT,PCT,Protein,Oil,Density,Volume
272-1,1,1,1,3.57915,0.141616667,4.453063431,11.36,4.63,1.25,2.86332
272-10,3,2.2,2.4,3.7944,0.1511,4.430463319,12.51,3.95,1.29,2.941395349
272-11,2,1.4,1.4,3.5736,0.14745,4.606838969,10.04,3.64,1.31,2.727938931
272-12,3,2,2,3.98405,0.1504,4.216504125,12.39,3.2,1.32,3.018219697
272-13,2,1.6,1.8,2.00875,0.1319,7.220837661,12.89,4.61,1.27,1.581692913
272-14,3,1.6,1.8,3.9505,0.1663,4.183730093,12.455,3.15,1.29,3.062403101
272-2,3,2,2,4.620866667,0.155911111,3.767252213,12.27,4.49,1.26,3.667354498
272-3,3,2.2,2.2,3.55475,0.14385,4.557525541,9.89,4.64,1.25,2.8438
272-4,1,1,1.2,3.4561,0.1374,4.414975965,11.98,3.47,1.33,2.598571429
272-5,2,1.6,1.6,3.9012,0.114,3.269388693,11.44,4.99,1.23,3.171707317
272-6,1,1,1.2,3.6749,0.11225,3.402758921,10.65,4.27,1.25,2.93992
272-7,3,2,2.2,3.86525,0.13755,3.963261262,10.4,3.7,1.31,2.950572519
272-8,1,1,1,3.00175,0.135,4.994954042,13.35,3.71,1.28,2.345117188
272-9,2,1.2,1.2,2.46275,0.09763,4.45210754,10.35,3.56,1.3,1.894423077
273-1,2,1.6,1.8,3.69775,0.137,4.132186337,12.03,3.58,1.35,2.739074074
273-10,2,1.2,1.2,3.9011,0.1257,3.580129312,13.26,3.01,1.3,3.000846154
273-11,2,1.4,1.4,3.92475,0.14815,4.205459409,11.59,4.03,1.29,3.04244186
273-12,2,1.6,1.6,3.543,0.13425,4.222688672,12.54,3.79,1.29,2.746511628
273-2,3,2.2,2.6,2.3212,0.1062,5.214836263,10.59,4.31,1.21,1.918347107
273-3,2,1.4,1.4,3.8866,0.155216667,4.498017192,10.83,3.56,1.26,3.084603175
273-4,2,1.6,1.8,3.1084,0.113,4.043828594,9.12,4.44,1.29,2.409612403
273-5,3,2,2,3.9814,0.1219,3.431599213,8.83,4.05,1.29,3.086356589
273-6,2,1.4,1.6,3.40775,0.1077,3.51062434,11.63,2.91,1.34,2.543097015
273-7,2,1.4,1.4,2.0317,0.07705,4.245013302,11.09,3.69,1.3,1.562846154
273-8,3,2.2,2.4,3.2768,0.116115,3.943759545,11.52,3.6,1.34,2.445373134
273-9,1,1,1,3.47065,0.125375,4.063903577,10.75,4.85,1.24,2.79891129
274-1,3,2.4,2.6,3.8298,0.13615,3.978797688,11.89,3.98,1.31,2.92351145
274-10,2,1.2,1.6,3.26135,0.11475,3.931064532,11.96,2.93,1.33,2.452142857
274-11,1,1,1,3.2389,0.11815,4.043385044,13.3,2.8,1.34,2.417089552
274-12,1,1,1,2.977,0.099,3.606369552,11.6,2.55,1.35,2.205185185
274-2,1,1,1,3.5693,0.13205,3.957072012,10.49,3.5,1.29,2.766899225
274-3,2,1.4,2,3.8844,0.155633334,4.510458664,13.06,2.61,1.35,2.877333333
274-4,1,1,1,3.69665,0.1494,4.510948051,11.89,4.13,1.29,2.865620155
274-5,1,1,1.2,4.07705,0.14565,3.985172418,11.38,3.61,1.3,3.136192308
274-6,1,1,1,3.41825,0.1312,4.267656321,12.99,3.88,1.28,2.670507813
274-7,1,1,1.4,3.65415,0.13895,4.242557641,12.25,3.27,1.3,2.810884615
274-8,3,2.4,2.8,3.8263,0.130046667,3.489851594,10.07,4.47,1.24,3.085725806
274-9,2,1.2,1.6,2.5617,0.093666667,4.081641176,10.45,4.08,1.3,1.970538462
275-1,2,1.2,1.2,2.87255,0.12445,4.901044176,12.43,3.44,1.3,2.209653846
275-10,2,1.2,1.4,3.99195,0.1425,3.98617155,11.17,4.1,1.29,3.094534884
275-11,2,1.8,2,2.76605,0.115,4.640419358,10.04,3.39,1.32,2.095492424
275-12,3,1.6,1.6,2.7029,0.09315,3.876557421,10.3,4.51,1.22,2.215491803
275-13,NA,NA,NA,3.749933333,0.135466667,4.027550121,13.2,3.75,1.31,2.862544529
275-2,2,1.6,1.6,3.58,0.1388,4.366703371,11.47,3.93,1.26,2.841269841
275-3,1,1,1.2,3.9422,0.1244,3.56769622,10,4.75,1.25,3.15376
275-4,1,1,1,2.98728,0.1189,4.481604453,10.06,3.68,1.25,2.389824
275-5,3,2,2.2,4.6949,0.18085,4.316224866,10.6,3.47,1.29,3.639457364
275-6,1,1,1,3.77635,0.14605,4.319684523,11.76,3.95,1.25,3.02108
275-7,2,1.6,1.6,2.5782,0.10825,4.715532497,9.93,3.42,1.31,1.968091603
275-8,3,2.2,2.2,3.247,0.09305,3.175911601,9.51,4.38,1.28,2.53671875
275-9,1,1,1.6,3.73265,0.10095,2.989989604,10.07,4.29,1.29,2.893527132
276-1,1,1,1,3.374566667,0.131633333,4.133108771,11.78,3.6,1.3,2.595820513
276-10,2,1.2,1.4,3.648,0.1383,4.240085327,12.32,2.94,1.33,2.742857143
276-11,2,1.6,1.8,3.725033333,0.122366667,3.647168752,12.11,3.74,1.33,2.800776942
276-3,1,1,1.2,3.395466667,0.128566667,4.259040842,11.81,3.84,1.3,2.611897436
276-4,1,1,1,3.9034,0.12975,3.721506166,10.85,4.64,1.25,3.12272
276-5,1,1,1,3.7764,0.1543,4.586876327,11.55,4.21,1.26,2.997142857
276-6,2,1.4,1.4,3.153775,0.11815,4.064405822,9.01,3.93,1.29,2.444786822
276-7,2,1.2,1.2,4.13987,0.1759,4.724721001,12.16,2.88,1.35,3.06657037
276-8,1,1,1,3.3182,0.1401,4.706087064,12.09,3.14,1.34,2.476268657
276-9,1,1,1,4.1571,0.125185,3.35638697,12.39,3.34,1.28,3.247734375
277-1,1,1,1.2,3.773766667,0.137133333,4.097410174,11,3.81,1.28,2.948255209
277-2,2,1.2,1.4,3.35545,0.1274,3.746114115,10.89,4.23,1.29,2.601124031
277-3,1,1,1.2,4.38345,0.182,4.628405961,12.56,3.34,1.35,3.247
277-4,2,1.8,1.8,3.22345,0.11215,3.94898686,9.28,3.87,1.26,2.558293651
277-5,2,1.2,1.4,2.341333333,0.091433333,4.377611915,10.39,3.93,1.3,1.801025641
277-6,3,1.6,1.8,3.5342,0.14465,4.571820348,10.15,3.27,1.3,2.718615385
277-7,2,1.6,1.6,3.34205,0.1046,3.495012696,10.53,3.76,1.33,2.512819549
277-8,2,1.4,1.6,3.491166667,0.14358,4.575146956,9.83,4.06,1.27,2.748950131
277-9,1,1,1.2,1.430833333,0.046266667,3.633747679,12.67,4.32,1.27,1.12664042
278-1,2,1.2,1.8,4.0311,0.1275,3.530912686,10.4,4.05,1.33,3.030902256
278-2,2,1.8,1.8,4.2511,0.146733334,3.861603131,10.59,4.21,1.28,3.321171875
278-3,2,1.4,1.8,3.53505,0.1626,5.163203537,13.62,3.24,1.3,2.719269231
278-4,1,1,1,1.8826,0.0725,4.38509966,10.82,4.6,1.21,1.555867769
278-5,2,1.6,2,2.9768,0.1109,4.198728745,10.9,3.65,1.23,2.420162602
278-6,NA,NA,NA,4.0253,0.14565,4.025350629,10.75,2.53,1.33,3.026541353
279-1,1,1,1,3.9165,0.1304,3.731365312,8.68,4.06,1.28,3.059765625
279-10,3,2,2.2,3.4477,0.1036,3.347482706,11.53,3.7,1.33,2.592255639
279-11,2,1.6,1.6,4.274,0.1666,4.359119588,12.1,2.84,1.33,3.213533835
279-2,1,1,1,3.8895,0.151233334,4.347976085,13.72,3.33,1.31,2.969083969
279-3,2,1.2,1.2,3.989,0.1596,4.499061378,10.49,2.68,1.32,3.021969697
279-4,1,1,1,2.97885,0.10485,3.96965199,8.45,4.5,1.24,2.402298387
279-5,1,1,1.2,2.15445,0.07455,3.920874424,10.24,4.62,1.26,1.709880952
279-6,2,1.4,2,3.322075,0.1282,4.150601473,11.9,3.59,1.29,2.575251938
279-7,1,1,1,3.91895,0.1684,4.788150902,13.37,3.56,1.29,3.037945736
279-8,2,1.75,2.25,3.2389,0.099975,3.429424347,8.68,3.89,1.26,2.570555556
279-9,3,2.2,2.2,3.42865,0.118,3.844298325,11.38,4.22,1.29,2.657868217
280-1,1,1,1,4.30165,0.1519,3.973564744,11.83,3.19,1.29,3.334612403
280-10,2,1.4,1.4,3.59145,0.1405,4.381066073,12.05,3.09,1.28,2.805820313
280-11,1,1,1.4,3.8544,0.15675,4.531297175,11.45,3.17,1.31,2.942290076
280-12,4,1.8,2,3.91105,0.17365,4.945625471,13.17,3.42,1.3,3.0085
280-2,3,2,2,4.0131,0.161433334,4.524797045,13.26,2.54,1.35,2.972666667
280-3,3,1.6,1.6,2.84795,0.1182,4.678542582,11.95,3.85,1.25,2.27836
280-4,2,1.5,2.25,4.4311,0.16595,4.208271783,12.36,3.9,1.26,3.516746032
280-5,1,1,1,2.7707,0.1037,4.200283527,10.8,3.69,1.3,2.131307692
280-6,NA,NA,NA,4.204866667,0.1183,3.152842125,12.16,2.99,1.27,3.310918635
280-7,2,1.2,1.4,3.21905,0.09605,3.329563768,10.95,3.24,1.33,2.420338346
280-8,1,1,1.2,4.4757,0.136325,3.405279785,13.74,2.78,1.29,3.469534884
280-9,NA,NA,NA,4.326966667,0.134826667,3.484097107,13.3,4.06,1.32,3.278005051
281-1,2,1.4,1.6,3.03615,0.10255,3.785520277,11.88,5.29,1.29,2.353604651
281-10,2,2,2.2,3.05365,0.0947,3.464432328,11.35,4.47,1.27,2.404448819
281-11,1,1,1,2.9657,0.11955,4.479206561,12.58,4.33,1.28,2.316953125
281-2,2,1.4,1.6,1.40485,0.066083334,5.284190188,11.99,4.38,1.27,1.106181102
281-3,2,1.2,1.4,3.0656,0.1116,4.089271359,12.5,3.56,1.27,2.413858268
281-4,3,2,2.2,3.04045,0.11935,4.385325787,12.6,5.11,1.28,2.375351563
281-5,2,1.8,2.2,3.6822,0.1319,4.026458852,9.99,4.65,1.23,2.993658537
281-6,2,1.4,1.6,2.0253,0.07935,4.422331577,12.44,4.75,1.23,1.646585366
281-7,2,1.6,1.8,3.18945,0.12285,4.311841917,13.13,4.02,1.27,2.511377953
281-8,3,2.4,2.6,3.28175,0.10841,3.681573193,11.1,4.84,1.25,2.6254
281-9,3,2.4,2.6,1.7907,0.0767,4.782402806,13.42,4.53,1.27,1.41
282-1,2,1.2,1.2,3.789033333,0.163333333,4.821464415,12.85,3.6,1.3,2.914641025
282-10,2,1.6,1.6,4.34515,0.15125,3.728380795,13.15,3.27,1.31,3.316908397
282-11,1,1,1,3.34895,0.1429,4.65009839,12.5,4.09,1.28,2.616367188
282-2,2,1.2,1.2,3.86185,0.147133334,4.286959152,10.61,4.59,1.26,3.064960317
282-3,2,1.6,1.8,3.5905,0.11455,3.580279781,12.26,4.86,1.26,2.849603175
282-4,1,1,1,3.8599,0.13755,3.96605951,11.75,3.9,1.26,3.063412698
282-5,1,1,1,4.12965,0.15345,4.132594981,12.98,3.85,1.34,3.081828358
282-6,1,1,1,3.31785,0.1192,3.996628338,10.37,3.46,1.33,2.49462406
282-7,1,1,1.2,4.06225,0.1499,4.099195661,11.94,3.83,1.29,3.149031008
282-8,1,1,1.4,3.94825,0.1704,4.798987718,13.64,2.86,1.36,2.903125
282-9,2,1.2,1.2,3.503333333,0.12154,3.862350647,11.96,3.94,1.29,2.715762274
283-1,3,2.2,2.4,4.20245,0.15015,4.013923756,9.21,4.26,1.26,3.335277778
283-10,1,1,1,2.81815,0.12555,5.136327428,13.08,3.3,1.28,2.201679688
283-11,2,1.166666667,1.166666667,3.14715,0.1181,4.181891818,10.74,4.06,1.28,2.458710938
283-12,2,1.4,1.6,3.3304,0.1268,4.220485736,9.98,3.33,1.35,2.466962963
283-13,1,1,1.6,2.894133333,0.135666667,5.168707189,11.02,3.68,1.26,2.296931217
283-14,3,2,2.4,3.6096,0.12755,3.934231222,13.2,3.58,1.33,2.713984962
283-15,2,1.4,1.4,4.1026,0.18775,5.118926347,11.3,4.07,1.25,3.28208
283-2,1,1,1.333333333,3.62925,0.134966667,4.155363734,12.56,3.42,1.35,2.688333333
283-3,1,1,1.166666667,3.4114,0.130133334,4.273440283,9.18,3.79,1.28,2.66515625
283-4,2,1.333333333,1.666666667,3.415533333,0.121266667,3.955956023,12.09,3.7,1.31,2.607277353
283-5,2,1.5,1.5,3.512,0.12635,4.015915297,9.06,4.16,1.32,2.660606061
283-6,2,1.166666667,1.333333333,3.8378,0.1296,3.747229652,11.39,3.86,1.32,2.907424242
283-7,2,1.166666667,1.166666667,3.05735,0.1012,3.673073914,11.38,3.37,1.35,2.264703704
283-8,2,1.166666667,1.333333333,2.8814,0.089665,3.482351345,8.82,4.41,1.25,2.30512
283-9,1,1,1.333333333,1.9772,0.08033,4.622517337,10.4,5.1,1.21,1.634049587
284-1,2,1.2,1.2,3.93175,0.1637,4.6907597,11.5,3.47,1.27,3.095866142
284-10,1,1,1.2,4.10455,0.1297,3.504205182,10.87,3.13,1.36,3.018051471
284-11,1,1,1,3.2584,0.1328,4.54843048,10.81,3.71,1.32,2.468484848
284-12,2,1.2,1.2,3.69385,0.12345,3.724255038,11.85,2.98,1.36,2.716066176
284-13,1,1,1,3.4625,0.1255,4.014597683,12.16,3.22,1.35,2.564814815
284-14,1,1,1,3.54945,0.1256,3.938512689,11.1,3.31,1.34,2.648843284
284-15,1,1,1,2.96795,0.12835,4.697558884,10.9,3.74,1.26,2.355515873
284-2,2,1.2,1.8,3.9701,0.1678,4.721017274,13.73,3.09,1.36,2.919191176
284-3,1,1,1.2,3.456666667,0.119622222,3.890488415,10.5,3.97,1.27,2.721784777
284-4,2,1.2,1.2,4.21215,0.14675,3.869709263,11.69,4.34,1.3,3.240115385
284-5,1,1,1,3.61767,0.1255,3.860631508,12.83,4,1.29,2.804395349
284-6,1,1,1,3.838066667,0.122133333,3.527659736,10.85,3.53,1.35,2.843012346
284-7,1,1,1.2,3.897133333,0.120233333,3.427476807,11.74,3.51,1.35,2.886765432
284-8,2,1.6,1.6,3.86485,0.146275,4.19794559,12.82,4.34,1.28,3.019414063
284-9,1,1,1.2,3.70155,0.16545,4.983804644,10.8,2.63,1.34,2.762350746
285-1,3,1.8,1.8,3.3917,0.1155,3.840297134,11.94,3.72,1.29,2.629224806
285-11,1,1,1,3.902,0.13945,4.001594836,12.02,4.47,1.28,3.0484375
285-2,2,2,2,4.0246,0.185716667,5.219345023,13.31,3.88,1.25,3.21968
285-3,3,2.2,2.2,3.50145,0.12965,4.133561388,11.99,4.15,1.32,2.652613636
285-4,1,1,1,3.6555,0.14375,4.432995552,11.7,3.25,1.25,2.9244
285-5,2,1.166666667,1.166666667,3.99445,0.162,4.537940406,12.4,3.42,1.29,3.096472868
285-6,2,1.833333333,2,2.35485,0.09065,4.30350597,9.46,4.83,1.3,1.811423077
285-7,1,1,1,3.43125,0.1427,4.621994357,12.28,3.62,1.32,2.599431818
285-8,2,1.666666667,1.666666667,3.7873,0.11764,3.457167599,12.1,3.88,1.3,2.913307692
285-9,2,1.333333333,1.333333333,3.2975,0.12468,4.198391506,12.37,4.37,1.26,2.617063492
286-1,3,2,2.166666667,3.40525,0.139416667,4.579789878,10.98,3.82,1.29,2.639728682
286-2,2,1.333333333,1.333333333,3.81685,0.149016667,4.361855641,13.04,3.3,1.32,2.89155303
286-3,1,1,1,3.4558,0.12685,4.095846045,11.27,3.23,1.34,2.578955224
286-4,1,1,1,3.5713,0.10635,3.301694863,10.9,3.59,1.3,2.747153846
286-5,1,1,1,3.84735,0.125,3.609259767,10.2,4.29,1.28,3.005742188
286-6,1,1,1,3.91065,0.13095,3.726566165,11.26,3.26,1.32,2.962613636
286-7,1,1,1,2.8756,0.098333333,3.830356882,11.81,3.15,1.3,2.212
286-8,1,1,1,4.4277,0.17151,4.315389163,12.66,2.51,1.32,3.354318182
286-9,1,1,1,3.57045,0.12695,3.941528007,12.57,3.18,1.29,2.767790698
287-1,2,1.2,1.2,3.5887,0.1439,4.478391933,13.82,3.51,1.33,2.698270677
287-2,3,2.2,2.6,2.897966667,0.104333333,4.243050029,11.69,3.17,1.34,2.162661692
