ID,ACN,Log_ACN,AVG,ADJ,FT,Max
C001,57.05142856,4.015170836,1.12067616,1.214372503,1,2
C002,175.3028996,5.15606488,1.07348756,1.21471034,-0.5,1
C003,47.57872758,3.813897197,1.07348756,1.243307826,0,1
C004,218.6777034,5.37339069,1.07348756,1.189052616,-0.5,1
C005,95.91947447,4.54538262,1.150332788,1.638818449,1.5,2
C006,89.14495709,4.474083475,1.07348756,1.328199383,4,1
C007,37.97094186,3.573634183,1.07348756,1.214147278,-1.5,1
C008,119.1787757,4.658094603,1.097791779,1.468036991,0,1
C009,76.36801867,4.312417561,1.052093711,1.156834134,2,1
C010,232.0015717,5.421063724,1.07348756,1.071722913,-1,1
C011,224.160721,5.397756416,1.121435767,1.210067673,1,2
C012,179.3782328,5.164691898,1.052093711,1.11690898,0,1
C013,245.0611502,5.474425615,1.052093711,1.196759288,-4,1
C014,386.2970645,5.934645974,1.690440882,2.32719696,7.5,3
C015,250.0128756,5.499342452,1.093211029,1.385056516,1.5,1
C016,247.936581,5.498811662,1.525650093,2.098529689,1.5,2
C017,244.6969118,5.489214275,1.07348756,1.214147278,2.5,1
C018,216.2607925,5.367536004,1.07348756,1.128692659,0,1
C019,249.7131886,5.490651414,1.127107516,1.175035757,0,1
C020,336.5164127,5.801737889,1.505926624,1.927395227,0.5,2
C021,437.8019374,6.057367227,1.785556706,2.440686002,2.5,3
C022,262.331393,5.549951412,1.103805724,1.14185485,0,2
C023,322.5062156,5.761387715,1.467218311,2.012624621,5,2
C024,283.877601,5.635803401,1.734127963,2.156062497,5.5,3
C025,265.3731319,5.568948139,1.210813217,1.528156555,2.5,2
C026,47.85018573,3.745398668,1.058448594,1.07539583,NA,1
C027,53.08433947,3.938080182,1.07348756,1.157177532,6,1
C028,54.7316728,3.963299111,1.07348756,1.100207786,4.5,1
C029,75.77541562,4.262986071,1.07348756,1.071722913,3,1
C030,252.4594582,5.518322542,1.07348756,1.128917884,1.5,1
C031,160.0359668,5.055345403,1.07348756,1.271567474,10.5,1
C032,193.1938145,5.241715464,1.058448594,1.07539583,NA,1
C033,68.9903093,4.21039334,1.128417823,1.214372503,5.5,2
C034,54.36213513,3.951976075,1.112934498,1.128692659,6.5,1
C035,99.3443277,4.563394474,1.140399629,1.271567474,4,2
C036,274.2028462,5.591775737,1.372102486,1.813568347,1.5,2
C037,211.2278002,5.337781533,1.367862343,1.699741468,0.5,2
C038,236.5061165,5.441588884,1.07348756,1.100207786,-3,1
C039,359.7114789,5.86224433,1.155882954,1.556979266,-0.5,2
C040,354.9165352,5.852518507,1.761593094,2.213032243,8,3
C041,82.30805266,4.394151515,1.112934498,1.128692659,1,1
C042,103.8460271,4.630127637,1.07348756,1.071722913,0.5,1
C043,108.8906748,4.681780464,1.07348756,1.071722913,-0.5,1
C044,73.55439575,4.269253517,1.093211029,1.100207786,-0.5,1
C045,165.6980773,5.103556041,1.112934498,1.128692659,-1,1
C046,84.21907652,4.402741296,1.07348756,1.071722913,-1.5,1
C047,101.6525461,4.610400778,1.07348756,1.071722913,-1,1
C048,126.6796955,4.835213041,1.093211029,1.100207786,0,1
C049,83.59114279,4.413056933,1.093211029,1.100207786,-2.5,1
C050,95.52832476,4.549385838,1.07348756,1.071722913,-1,1
C051,77.44552834,4.324685983,1.46304329,1.986938322,9,3
C052,191.9909329,5.24694928,1.745371144,2.128028074,9,4
C053,82.42693783,4.324911253,1.210813217,1.556754041,7.5,2
C054,122.5572594,4.797138517,1.088596188,1.068659777,0,1
C055,166.7946007,5.103936874,1.250260155,1.471412034,2,2
C056,97.43563492,4.557661987,1.112934498,1.128692659,1,1
C057,82.15431928,4.385549303,1.07348756,1.100207786,0.5,1
C058,32.98911534,3.407807727,1.07348756,1.071722913,-2,1
C059,65.39263988,4.145949047,1.07348756,1.100207786,2.5,1
C060,61.64672844,4.066275314,1.088596188,1.068659777,2,1
C061,109.2354011,4.65548557,1.112934498,1.157177532,1,1
C062,112.4593048,4.706062047,1.07348756,1.356796868,-2,1
C063,102.0926485,4.611675698,1.293947236,1.727550666,-2,2
C064,206.4658078,5.321018176,1.07348756,1.071722913,1,1
C065,62.36814269,4.109000646,1.07348756,1.100207786,-3,1
C066,83.13823834,4.380318908,1.172104904,1.32808677,2,1
C067,168.1889505,5.090400754,1.560856887,1.927845676,1,3
C068,131.4525129,4.826080274,1.439014555,1.784970862,1,2
C069,183.6070496,5.186118646,1.250260155,1.67103137,1.5,2
C070,166.5871723,5.08530314,1.07348756,1.071722913,0,1
C071,118.3448452,4.75711744,1.478461493,1.841940608,1,2
C072,216.6472801,5.36688024,1.36012068,1.728226341,2.5,2
C073,176.588519,5.164207948,1.395336888,1.635935983,-3,2
C074,210.3263373,5.323414594,1.348138874,1.785871761,-0.5,3
C075,154.4297221,5.032565863,1.155882954,1.186112855,2,2
C076,227.7242083,5.413645069,1.093211029,1.128805272,0.5,1
C077,209.9295968,5.292170788,1.64496829,1.955337217,5,3
C078,188.0827531,5.228520846,1.32915403,1.699178406,1.5,2
C079,325.3649277,5.765961039,1.388324436,1.642096047,-1.5,2
C080,179.3933,5.178560427,1.31293208,1.442927161,-4,3
C081,284.8724251,5.639279065,1.627768956,2.041897781,3.5,3
C082,148.4403132,4.988733547,1.307023664,1.627611935,4,2
C084,162.5871319,5.079724302,1.07348756,1.100320399,2.5,1
C085,129.6372615,4.818202109,1.258740442,1.442589324,3.5,2
C086,133.7470186,4.876352966,1.058448594,1.07539583,2,1
C087,128.7587554,4.848189618,1.07348756,1.071722913,4.5,1
C088,192.884808,5.242067897,1.052093711,1.076983825,3,1
C089,166.9378632,5.075793328,1.12067616,1.186000243,4.5,2
C090,167.522535,5.110344721,1.297448755,1.585464139,-2.5,2
C091,150.7808868,5.003238615,1.167864761,1.499671682,-2,2
C092,192.4905769,5.246158412,1.510166768,1.84205322,-2,2
C094,175.1614539,5.157702497,1.07348756,1.157177532,-3.5,1
C097,176.2856342,5.165133505,1.093211029,1.100207786,0,1
C098,148.4796617,4.990920437,1.093211029,1.100207786,2,1
C099,201.3095041,5.282396129,1.07348756,1.071722913,-3,1
C100,129.9267921,4.854617995,1.07348756,1.071722913,-3.5,1
C101,152.5154186,5.008577587,1.07348756,1.071722913,-0.5,1
C102,118.4608471,4.763533142,1.07348756,1.100207786,2,1
C103,144.6031687,4.965086528,1.07348756,1.071722913,-1,1
C104,158.4627137,5.053537548,1.07348756,1.071722913,-0.5,1
C105,83.73776494,4.402536759,1.07348756,1.071722913,1.5,1
C106,84.02350167,4.41198766,1.07348756,1.071722913,-1,1
C107,104.5184495,4.636476218,1.07348756,1.100320399,-2.5,1
C108,120.5741229,4.783198864,1.093211029,1.18588763,-3.5,1
C109,104.8091646,4.62121714,1.07348756,1.100320399,-3.5,1
C110,125.417269,4.797675508,1.100952692,1.100320399,-2,2
C111,54.03455693,3.893817232,1.07348756,1.100320399,0.5,1
C112,69.45253808,4.199588319,1.07348756,1.100320399,-2.5,1
C113,165.7230869,5.099084153,1.100952692,1.157402757,-2.5,2
C114,117.6934826,4.756214308,1.100952692,1.100320399,-0.5,2
C115,47.57702881,3.820891872,1.093211029,1.13198277,-3,1
C116,74.62073313,4.257452636,1.690440882,2.099205364,0.5,3
C117,158.1220975,5.056790707,1.37634263,1.642433885,0,2
C118,62.46423134,4.105756709,1.140399629,1.385619578,-3,2
C119,95.59983798,4.533625982,1.07348756,1.071722913,-2.5,1
C120,140.2429149,4.933976475,1.275819739,1.348135856,1,2
C121,77.27632496,4.307427391,1.250260155,1.414104451,-2.5,2
C122,192.6610621,5.233545812,1.430534268,1.643109559,2.5,3
C123,72.94277959,4.265002432,1.495133281,1.841940608,0,3
C124,141.4789404,4.941827231,1.70737614,1.955337217,0,4
C125,86.82531933,4.428583721,1.222795023,1.442476712,-0.5,3
C126,154.0764474,5.022189905,1.244615814,1.507836473,-3,2
C127,240.3641167,5.463745909,1.165037998,1.271567474,-0.5,2
C128,193.8533042,5.254520272,1.338227589,1.587686781,-3,2
C129,181.2234863,5.192469121,1.195329892,1.271567474,0.5,2
C130,215.8290659,5.363182314,1.07348756,1.071722913,-3,1
C131,220.8020023,5.384630205,1.450257737,1.642884334,0.5,3
C132,159.8588424,5.066638333,1.297448755,1.328762445,0,2
C133,67.32527578,4.168187998,1.07348756,1.100207786,0.5,1
C134,41.24790833,3.662302178,1.31293208,1.728001116,-0.5,2
C135,42.02586175,3.675607722,1.07348756,1.100207786,-0.5,1
C136,134.2582045,4.87657837,1.210813217,1.528269168,0.5,2
C137,45.70172423,3.742748359,1.307023664,1.667537089,2,2
C138,60.3868346,4.025814219,1.421305636,1.673527015,NA,2
C139,170.9572061,5.122124222,1.466662766,1.806445056,NA,2
C140,59.46072777,4.047411306,1.083297636,1.396385059,-1,2
C141,45.49733661,3.759530309,1.155882954,1.299939734,0,2
C142,102.2585516,4.584073695,1.07348756,1.128692659,-1,1
C143,63.84712383,4.126260124,1.183348086,1.642433885,1,2
C144,76.47656134,4.283361143,1.07348756,1.299601897,0.5,1
C145,51.3306447,3.893940737,1.155882954,1.442589324,1,2
C146,89.61429712,4.484005569,1.100952692,1.214259891,-3.5,2
C147,74.50429705,4.277675155,1.100952692,1.128805272,-0.5,2
C148,74.96577552,4.281708595,1.07348756,1.157402757,0,1
C149,65.57501851,4.121185683,1.058448594,1.14185485,NA,1
C150,57.51827633,3.969323027,1.058448594,1.14185485,NA,1
